Company_name,Rating,Location,Job_title,Description,Salary,Job_age,Easy_apply,Employees,Type_of_ownership,Sector,Founded,Industry,Revenue_USD,Friend_recommend,CEO_approval,Career_opportunities,Comp_&_benefits,Culture_&_values,Senior_management,Work/Life_balance,Pros,Cons,Benefits_rating,Benefits_reviews
Ispass Technologies Ltd,,Cyprus,Data Engineer,"We are looking for a Data Engineer to join our team! If you are an enthusiastic Data Engineer who enjoy to design, develop, test, and maintain data architectures and systems, enabling the company to efficiently process, analyze and utilize data; then you are a fit for the role! Transforming raw data into useful information providing the organization with decision-making insights is part of the job!

Job Responsibilities

Design and build data pipelines
Design and maintain data storage and infrastructure",,3d,True,51 to 200,Company - Private,,,,,,,,,,,,,,,
Synthetica,5.0,Athens,Jr Data Engineer,"Basic Information
Synthetica is a data science company that specializes in the design, development, and delivery of customized software solutions that can seamlessly be integrated into a company’s workflow and improve its efficiency and productivity.
Our team is growing and we are looking for Junior Deep Learning Engineer who will become an integral part of our product delivery process.

Responsibilities
You will create, maintain and optimize data architectures and pipelines",,21d,False,1 to 50,Company - Private,,,,,1.0,,5.0,5.0,5.0,5.0,5.0,"['""Flexible working hours"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
MUFG Investor Services,3.6,Athens,Data Engineer - Cyprus based,"Company Description
MUFG Investor Services is a member of the Mitsubishi UFJ Financial Group, a leading global financial services group, aiming to deliver unparalleled experience to the Group’s customers by successfully meeting their continuous needs. We’ve a vision and a road map for becoming a standout service provider in the fund admin industry. We have the best in class technology to service our clients and we are constantly looking for improvements to stay a head of the curve.
We’re growing our local footprint in Cyprus and will be moving to a new state of the art office location this summer. Imagine your future at MUFG Investor Services where you can grow professionally, in a diverse and inclusive workplace that rewards your contribution.
Job Description
Based at our Limassol office, the successful candidate will be part of a team which will be responsible for the correct, timely and efficient flow of data from various source systems to various end points.",,2d,True,10000+,Company - Public,Financial Services,1864,Banking & Lending,$10+ billion,0.61,,3.2,3.3,3.5,3.2,3.5,"['""Strong and Good work life balance"" (in 323 reviews)', '""great people in my team"" (in 312 reviews)', '""great culture and exit opps"" (in 284 reviews)', '""Good benefit is good one"" (in 207 reviews)', '""Good salary"" (in 341 reviews)']","['""no work life balance for no reason"" (in 323 reviews)', '""Quite Competitive.. but nice people."" (in 312 reviews)', '""poor culture, internally incredibly messy"" (in 284 reviews)', '""8. Poor benefits compared to other banks"" (in 207 reviews)', '""Low salary and hard to get promoted"" (in 341 reviews)']",4.0,"['Health Insurance (57 comments)\n""Comprehensive; great coverage - at par with other companies in Halifax""', 'Vacation & Paid Time Off (32 comments)\n""No vacation and paid time off""', '401K Plan (15 comments)\n""Good contribution rate, however it does not pay out until the end of the year so if you leave in November you lose their contribution for the year.""']"
Commsquare,4.6,Athens,Junior Telecom Data Analysis Engineer,"Basic Information
Commsquare is are currently looking to expand our Analytics Team in Athens, with a Junior Telecom Data Analysis Engineer.

Responsibilities
Participation in the various phases of the post-processing chain of drive test measurement data: importing and validation; transformation of data into a useful format for analysis; creation of specific visualisations; analysis and reporting
Development and maintenance of validation and analysis modules over our data warehouse using Tableau, SQL and Python scripts",,21d,False,201 to 500,,,,,,1.0,,4.1,4.5,4.8,4.5,4.8,"['""Amazing colleagues with great work atmosphere, challenging tasks with new technologies, focus to quality!"" (in 4 reviews)', '""Very good compensation and benefits"" (in 3 reviews)', '""Good benefits."" (in 1 reviews)', '""Great environment and team culture."" (in 1 reviews)']","['""Mediocre management on software requirements, design and timeschedule because everyone does many things or do not know how to do it."" (in 2 reviews)']",,
PrimeTel,3.4,Cyprus,Junior Network Engineer,"Location: Limassol
PrimeTel is one of Cyprus’ leading telecommunication providers offering telephone, internet, television and mobile services. In PrimeTel, we strongly believe that our positioning in the market, our technology, our reputation and strength have all been achieved through our talented, dynamic and enthusiastic professionals. We are always looking for new colleagues to join our company and help our business to reach new levels of excellence.
If you meet the criteria for Junior Network Engineer, then we are looking forward for you to join our family.",,30d+,False,201 to 500,Company - Private,Telecommunications,,Telecommunications Services,$25 to $100 million,0.55,,3.1,2.6,3.3,3.0,3.5,['No Pros have been reported by the Glassdoor community.'],"['""No bonus or raise."" (in 3 reviews)']",,
Intelligencia,5.0,Greece,Data Engineer,"Intelligencia.ai is a technology company at the heart of Healthcare and AI. Our mission is to bring novel therapies to patients faster and more efficiently by applying Data Science to Drug Development. We are pioneering the use of AI for assessing and addressing fundamental risks to maximize the odds of multiple life changing therapeutics.
Our people are the core of our success. We are a fast growing company that operates in a diverse, cross-functional and flexible environment. Our team consists of intellectually curious minds with a can-do attitude that love what they do and enjoy being part of a highly collaborative team. Together, we are solving complex problems and making a positive impact on people's lives by building cutting-edge technologies.
Our Engineering team is focused on applying engineering rigor and innovative design elements to our machine learning driven platform with a mission to accelerate drug development process. This role will be a key contributor to the design and implementation of data engineering pipelines to ingest billions of data points across hundreds of features from publications, patents, genomics, and many other sources.",,30d+,True,51 to 200,Company - Private,Information Technology,2017,Enterprise Software & Network Solutions,,1.0,,4.9,4.9,4.9,4.9,4.8,"['""Great opportunity to meet people and to work for a extremely fast"" (in 1 reviews)', '""Great work life balance."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],,
Capture One,3.5,Athens,Associate Data Engineer,"Help us shape the future of photography
Born out of a passion for photography, we provide photographers with the tools to easily collaborate with clients and creatives, achieve the highest quality photographs, and bring their visions to life. We are on a journey to become the most efficient ecosystem of creative and collaborative tools with a flexible photography workflow seamlessly spanning across multiple devices, letting you work from anywhere and with anyone.

The role
Analytics are at the heart of Capture One’s success. In this role, you will empower the business through connecting the data of our 250K+ global customers, which enables us to turn data into actionable insights in support of our ambitious growth goals.",,7d,True,51 to 200,Company - Private,Information Technology,,Computer Hardware Development,,0.72,,3.8,3.5,3.7,3.7,4.1,"['""Friendly, knowledgeable colleagues"" (in 11 reviews)', '""Leadership is knowledgable, passionate, down"" (in 4 reviews)', '""A lot to learn and work with the newest technology in a really friendly environment with the best working conditions and Scandinavian work ethic."" (in 3 reviews)']","['""Not the most competitive salary."" (in 4 reviews)', '""Working for Capture One is a precarious business, one rife with toxic work culture, bad management, poor leadership, and employees who consistently feel devalued and mistreated."" (in 4 reviews)', '""Not everyone is good with change (and not everyone is good with change management), and when change/restructure happens people can get very angry."" (in 5 reviews)']",,
ATC GR,5.0,Athens,Data Engineer,"Athens Technology Center seeks for a Data Engineer (Athens/ Thessaloniki/ hybrid)

About us
ATC is an Information Technology Company offering solutions and services targeting specific sectors incl. the Media, Banking, Retail Sectors, Utilities and Public Sector Organisations. As a full-service software development company, we apply modern design principles, along with the latest data science, machine learning, cloud, mobile and desktop technologies. We strive to deliver quality software solutions for top clients and global leaders in numerous industries, while at the same time being at the forefront of research and innovation.",,30d+,False,,Company - Private,Manufacturing,,Machinery Manufacturing,,1.0,,5.0,4.0,5.0,5.0,5.0,"['""Great people great place and good pay on all levels of the company."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.'],5.0,
Margera,4.7,Greece,Junior Analytics Software Engineer (remote),"Margera is a boutique analytics agency founded by an x-Googler. We help Enterprise companies grow through the use of data and analytics. We are proud to support top companies in various industries such as banks (Eurobank, Piraeus Bank, Astrobank), travel-related (Aegean Airlines, Sani/ikos Hotels), tobacco (Philip Morris in 6 countries) and gaming (OPAP, Stoiximan, novibet). Our main services are Digital Analytics (we are the only Google Analytics Sales Partner in Greece/Cyprus), Data warehousing (on-prem or on the Cloud), BI and Machine Learning.

We have an ambitious growth plan (x5 in 3 years) and we are looking for a professional who will be joining our Data Engineering Team.",,30d+,True,1 to 50,Company - Private,Management & Consulting,2019,Business Consulting,,0.89,,4.3,4.3,4.3,4.3,4.2,"['""1) Very friendly colleagues"" (in 16 reviews)', '""There is opportunity to learn and develop, as they let you work on projects that may require technologies that you have little experience on."" (in 11 reviews)', '""Attractive salary"" (in 8 reviews)', '""Great team spirit"" (in 5 reviews)', '""Minimum meetings, which allows to you complete work faster."" (in 5 reviews)']","['""Vague instructions and pointless follow up meetings."" (in 5 reviews)']",,
MAN Energy Solutions,3.7,Greece,Data Engineer Greece,"What you should know about us
MAN Energy Solutions enables it customers to achieve sustainable value creation in the transition towards a carbon neutral future. Addressing tomorrow's challenges within the marine, energy and industrial sectors, we improve efficiency and performance at a systematic level. Leading the way in advanced engineering for more than 250 years, we provide a unique portfolio of technologies. Headquartered in Germany, MAN Energy Solutions employs some 15,000 people at over 120 sites globally. Our after sales brand, MAN PrimeServ offers a vast network of service centers to our customers all over the world.
MAN Energy Solution Hellas Ltd is looking for a Data Engineer to work on identification of Internal Combustion Engine Components, Construction of Engine Spare Parts List Database and Maintenance of Spares Parts Database. The job requires you to work independently while you have a strong sense of community and can work in teams.

Our work environment is characterized by openness, where knowledge sharing is a natural part of everyday life. Freedom with responsibility is an integral part of our corporate culture.",,30d+,False,10000+,Company - Private,,,,,0.75,0.84,3.1,3.5,3.7,3.1,3.9,"['""Global exposure, salary, work life balance"" (in 38 reviews)', '""good work life balance"" (in 31 reviews)', '""2. Management back up is appreciable."" (in 24 reviews)', '""People are nice and friendly"" (in 23 reviews)', '""It is a great working environment"" (in 25 reviews)']","['""Salary is low compare to competitors"" (in 38 reviews)', '""Change management and high sales targets"" (in 24 reviews)', '""Too many office politics by people who love too much power"" (in 23 reviews)']",4.0,
Deloitte,4.0,Thessaloníki,Data Engineer / BI Engineer @Thessaloniki,"Data Engineer / BI Engineer @Thessaloniki
What Impact will you make?

YOUR OPPORTUNITY
Deloitte’s professionals lead the technological development trend through cutting edge technologies and consulting services oriented to enabling clients harvest the benefits from modern data management and analytics solutions.
We are currently searching for Data Engineers/Business Intelligence Engineers for our Core Business Operations service line in Thessaloniki. The selected candidates will work in teams, have a detail-oriented mindset, analytical thinking skills, a drive for quality in technology and will be able to understand and interpret business requirements and transform them into actionable data processes.",,30d+,False,10000+,Company - Private,Financial Services,1850,Accounting & Tax,$10+ billion,0.81,0.93,4.3,3.8,4.0,3.8,3.3,"['""A good work life balance when you compare with other consulting firms and better exposure too"" (in 15211 reviews)', '""Good salary for first job and the onboarding process is good (plus certifications)"" (in 9993 reviews)', '""The people are great and the energy isn\'t what you\'d traditionally find in other opportunities."" (in 7920 reviews)', '""good culture is there here and we can have a chance to work with well knowledge professionals"" (in 8909 reviews)', '""Get good benefits and Good for fresher"" (in 4291 reviews)']","['""No work/life balance and not easy to grow if you are not willing to work crazy hours"" (in 15211 reviews)', '""The amount of hours put into this job and the low salary that goes with it"" (in 9993 reviews)', '""Hours not oa good and people willing to do it."" (in 7920 reviews)', '""Culture is toxic (South Africa member firm) and not people centric despite it priding itself as such."" (in 8909 reviews)', '""No benefits and many hours of unpaid work."" (in 4291 reviews)']",4.2,"['Health Insurance (764 comments)\n""But it is very expensive""', 'Vacation & Paid Time Off (636 comments)\n""Very flexible with holiday request""', '401K Plan (422 comments)\n""They don\'t do a match up to a %""']"
Capture One,3.5,Athens,Senior Data Engineer,"Help us shape the future of photography
Born out of a passion for photography, we provide photographers with the tools to easily collaborate with clients and creatives, achieve the highest quality photographs, and bring their visions to life. We are on a journey to become the most efficient ecosystem of creative and collaborative tools with a flexible photography workflow seamlessly spanning across multiple devices, letting you work from anywhere and with anyone.

The role
Analytics are at the heart of Capture One’s success. In this role, you will empower the business through connecting the data of our 250K+ global customers, which enables us to turn data into actionable insights in support of our ambitious growth goals. We are looking for a Senior Data Engineer to become part of our Data & Insights team. You will build data pipelines to support decision-making across Finance, Marketing, Sales and Product & Technology. You will also have the opportunity to build machine learning models that help us act faster on customer needs. Our data architecture is based on Microsoft’s cloud service Azure, and we primarily use Power BI for our self-serve reporting.",,6d,True,51 to 200,Company - Private,Information Technology,,Computer Hardware Development,,0.72,,3.8,3.5,3.7,3.7,4.1,"['""Friendly, knowledgeable colleagues"" (in 11 reviews)', '""Leadership is knowledgable, passionate, down"" (in 4 reviews)', '""A lot to learn and work with the newest technology in a really friendly environment with the best working conditions and Scandinavian work ethic."" (in 3 reviews)']","['""Not the most competitive salary."" (in 4 reviews)', '""Working for Capture One is a precarious business, one rife with toxic work culture, bad management, poor leadership, and employees who consistently feel devalued and mistreated."" (in 4 reviews)', '""Not everyone is good with change (and not everyone is good with change management), and when change/restructure happens people can get very angry."" (in 5 reviews)']",,
Exness Careers,4.3,Cyprus,Data Platform Engineer DWH,"With over 2,000 employees of more than 88 nationalities, Exness is the place for global teamwork, incredible leadership, a learning culture, and constant development. Unlimited by time zones, Exnessians from around the world have worked seamlessly together since 2008 to provide our traders with the best possible trading experience. Today, we stand proud with over 300,000 active traders and 2.5 trillion USD in monthly trading volume.
Your role at Exness:
We are looking for an experienced data engineer who will join our Technology department to be part of a team of more than 400 engineers that creates cutting-edge solutions and constantly raises the bar.
This department focuses on developing products in the trading market and creating solutions from the moment of registration of clients to the moment of withdrawal of funds. Our technologies include resolutions that support customer journeys (identity management, billing management), trading interfaces (FIX, REST, WS, Algo), back-office interfaces (Personal Area, Payment Solutions, Back Office), centers of expertise (QA, DevOps, security), technology platforms (Orchestration, internal PaaS/SaaS), and much more.",,30d+,True,1001 to 5000,Company - Private,Information Technology,2008,Information Technology Support Services,,0.84,0.92,4.2,4.5,4.3,3.9,4.2,"['""Good benefits, headquarter in Cyprus"" (in 58 reviews)', '""Good salary and internal environment"" (in 43 reviews)', '""Great management"" (in 26 reviews)', '""Nice people"" (in 36 reviews)', '""Great working environment"" (in 35 reviews)']","['""With all the benefits, haven\'t found any"" (in 58 reviews)', '""unpaid overtime not uncommon (still doesn\'t cancel out the very high salaries)"" (in 43 reviews)', '""Toxic management"" (in 26 reviews)', '""Nice people."" (in 36 reviews)', '""Working environment is not healthy"" (in 35 reviews)']",5.0,
Accenture,4.1,Thessaloníki,Data Engineer / BI Consultant in Thessaloniki,"ARE YOU READY to step up to the New and take your technology expertise to the next level?
Through unmatched industry experience, leading technologies from our ecosystem partners and startups, and the largest delivery network in the world, we provide a powerful range of capabilities that can be tailored to our client’s most complex business needs. With over 100 innovation hubs deployed around the world, we help clients continuously innovate at speed and at scale so they can outpace their peers. You will bring innovation, intelligence and industry experience together with the newest technologies to help clients innovate at scale and transform their businesses.
Technology is one of four services –the others are Strategy and Consulting, Interactive and Operations.",,30d+,False,10000+,Company - Public,Management & Consulting,1989,Business Consulting,$10+ billion,0.8,0.89,4.1,3.9,4.0,3.7,3.8,"['""It has been 7 months working in Accenture.....never felt work tirelessly.....trainings are good and good work life balance"" (in 14680 reviews)', '""Knowledge expanded due to dynamic industry and client partners Good salary both for profesional / fresh grad"" (in 15388 reviews)', '""Working here is good because the work culture is good and we get to reskill and upskill ourselves."" (in 10952 reviews)', '""encourage employees to upskilling themself and gain some certifications Many events in the premises always Benefits are good"" (in 5935 reviews)', '""Good Management and Woman friendly"" (in 6802 reviews)']","['""For few proj work is to much where we need to extend and no work life balance for women employees"" (in 14680 reviews)', '""Low salary for resources who are loyal and staying with the company for long years."" (in 15388 reviews)', '""Unprofessional and bad work culture"" (in 10952 reviews)', '""no benefits and just a contractor"" (in 5935 reviews)', '""Bad management no one knows the process and no one listens to team before interacting clients points."" (in 6802 reviews)']",4.2,"['401K Plan (570 comments)\n""Good, match, good plan options.""', 'Health Insurance (484 comments)\n""You have to use your flexible allowance to claim""', 'Vacation & Paid Time Off (447 comments)\n""they call every time for work""']"
EY,3.9,Athens,Technology Consulting - Big Data Engineer,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

The Opportunity

As part of our Data and Analytics team of Advisory practice you will work with multi-disciplinary teams to support clients in a wide range of big data initiatives aiming to generate and present new, useful and actionable insights. You will have the opportunity to work and take responsibilities in challenging engagements, gaining exposure to clients in various sectors both in Greece and abroad.",,21d,False,,,,,,,,,,,,,,,,,
Exness Careers,4.3,Cyprus,"Senior Data Engineer, Java","With over 2,000 employees of more than 88 nationalities, Exness is the place for global teamwork, incredible leadership, a learning culture, and constant development. Unlimited by time zones, Exnessians from around the world have worked seamlessly together since 2008 to provide our traders with the best possible trading experience. Today, we stand proud with over 300,000 active traders and 2.5 trillion USD in monthly trading volume.
Your role at Exness:
You will join our Technology department to be part of a team of more than 250 engineers who create cutting-edge solutions and constantly raise the bar. Together with the team, you will construct, develop, and maintain a scalable data platform for internal and external clients that is supposed to have data from various data sources reconciled and measured to prevent data losses and inconsistencies.",,30d+,True,1001 to 5000,Company - Private,Information Technology,2008,Information Technology Support Services,,0.84,0.92,4.2,4.5,4.3,3.9,4.2,"['""Good benefits, headquarter in Cyprus"" (in 58 reviews)', '""Good salary and internal environment"" (in 43 reviews)', '""Great management"" (in 26 reviews)', '""Nice people"" (in 36 reviews)', '""Great working environment"" (in 35 reviews)']","['""With all the benefits, haven\'t found any"" (in 58 reviews)', '""unpaid overtime not uncommon (still doesn\'t cancel out the very high salaries)"" (in 43 reviews)', '""Toxic management"" (in 26 reviews)', '""Nice people."" (in 36 reviews)', '""Working environment is not healthy"" (in 35 reviews)']",5.0,
Prosperty,2.0,Athens,Data Engineer,"Basic Information
Who are we?
Prosperty is at the forefront of the proptech industry, developing innovative solutions to streamline and enhance the real estate experience for all stakeholders. From our cutting-edge property search platform to our advanced property management tools, we are dedicated to improving the efficiency and transparency of the real estate market. With a strong focus on customer satisfaction and a commitment to using the latest technologies, we are poised for continued growth and success.
We are a forward-thinking company that designs and develops state-of-the-art technologies to improve the way people search for, buy, and manage properties. Our team is made up of innovative thinkers and problem solvers who are passionate about making a difference in the industry.",,21d,False,51 to 200,Company - Private,,,,,,,1.0,1.0,1.0,2.0,2.0,['No Pros have been reported by the Glassdoor community.'],"['""Micromanagement by young entitled talentless people."" (in 1 reviews)']",,
Accenture,4.1,Greece,Data Engineer / BI Consultant in Athens,"ARE YOU READY to step up to the New and take your technology expertise to the next level?
Through unmatched industry experience, leading technologies from our ecosystem partners and startups, and the largest delivery network in the world, we provide a powerful range of capabilities that can be tailored to our client’s most complex business needs. With over 100 innovation hubs deployed around the world, we help clients continuously innovate at speed and at scale so they can outpace their peers. You will bring innovation, intelligence and industry experience together with the newest technologies to help clients innovate at scale and transform their businesses.
Technology is one of four services–the others are Strategy and Consulting, Interactive and Operations.",,30d+,False,10000+,Company - Public,Management & Consulting,1989,Business Consulting,$10+ billion,0.8,0.89,4.1,3.9,4.0,3.7,3.8,"['""It has been 7 months working in Accenture.....never felt work tirelessly.....trainings are good and good work life balance"" (in 14680 reviews)', '""Knowledge expanded due to dynamic industry and client partners Good salary both for profesional / fresh grad"" (in 15388 reviews)', '""Working here is good because the work culture is good and we get to reskill and upskill ourselves."" (in 10952 reviews)', '""encourage employees to upskilling themself and gain some certifications Many events in the premises always Benefits are good"" (in 5935 reviews)', '""Good Management and Woman friendly"" (in 6802 reviews)']","['""For few proj work is to much where we need to extend and no work life balance for women employees"" (in 14680 reviews)', '""Low salary for resources who are loyal and staying with the company for long years."" (in 15388 reviews)', '""Unprofessional and bad work culture"" (in 10952 reviews)', '""no benefits and just a contractor"" (in 5935 reviews)', '""Bad management no one knows the process and no one listens to team before interacting clients points."" (in 6802 reviews)']",4.2,"['401K Plan (570 comments)\n""Good, match, good plan options.""', 'Health Insurance (484 comments)\n""You have to use your flexible allowance to claim""', 'Vacation & Paid Time Off (447 comments)\n""they call every time for work""']"
Accenture,4.1,Greece,ML Ops and Data Engineer,"Are you ready to be a part of the digital reinvention of industry and revolutionize your career?

In today’s world, business leaders want to rapidly and confidently reinvent to increase resilience, mitigate risk, and grow with sustainable value.
That’s where Accenture Strategy & Consulting comes in. We bring together strategic visionaries, industry experts, practitioners from across every enterprise function, business intelligence professionals, change specialists, data and AI authorities, and many other specialized skills to co-create each client’s unique path to reinvention. You will be a trusted partner to business leaders, working with a diverse team of experts to deliver successful tech-enabled transformation and new kinds of value for your clients.",,30d+,False,10000+,Company - Public,Management & Consulting,1989,Business Consulting,$10+ billion,0.8,0.89,4.1,3.9,4.0,3.7,3.8,"['""It has been 7 months working in Accenture.....never felt work tirelessly.....trainings are good and good work life balance"" (in 14680 reviews)', '""Knowledge expanded due to dynamic industry and client partners Good salary both for profesional / fresh grad"" (in 15388 reviews)', '""Working here is good because the work culture is good and we get to reskill and upskill ourselves."" (in 10952 reviews)', '""encourage employees to upskilling themself and gain some certifications Many events in the premises always Benefits are good"" (in 5935 reviews)', '""Good Management and Woman friendly"" (in 6802 reviews)']","['""For few proj work is to much where we need to extend and no work life balance for women employees"" (in 14680 reviews)', '""Low salary for resources who are loyal and staying with the company for long years."" (in 15388 reviews)', '""Unprofessional and bad work culture"" (in 10952 reviews)', '""no benefits and just a contractor"" (in 5935 reviews)', '""Bad management no one knows the process and no one listens to team before interacting clients points."" (in 6802 reviews)']",4.2,"['401K Plan (570 comments)\n""Good, match, good plan options.""', 'Health Insurance (484 comments)\n""You have to use your flexible allowance to claim""', 'Vacation & Paid Time Off (447 comments)\n""they call every time for work""']"
Apgar Consulting,4.6,Cyprus,Technical Data Engineer (Customer Excellence),"As a Technical Data Engineer (Customer Excellence), you will be part of a team working on a client project. You will be supervised by an experienced Customer Excellence Senior Analyst or a Customer Excellence Lead.
If you are looking for personal development, entrepreneurship experience, and career growth.
If you are looking for a company where you can influence.
If you are looking for a true people-centric environment.
Keep reading.",,30d+,False,51 to 200,Company - Private,Management & Consulting,2013,Business Consulting,$5 to $25 million,0.91,1.0,4.4,3.9,4.8,4.4,4.6,"['""Friendly work environment"" (in 8 reviews)', '""Great work environment Great people, team spirit Mutual help between colleagues"" (in 7 reviews)', '""Team Spirit, HR Management &amp; Career Path, Expertise"" (in 5 reviews)', '""Good salary;"" (in 4 reviews)']","['""Unclear career path."" (in 5 reviews)', '""Salaries are not high and sometimes too far from the life costs"" (in 4 reviews)', '""benefits could be better when compared to other bigger companies, but not bad for a company of its size"" (in 2 reviews)']",,
Jobs Cyprus,,Cyprus,Big Data Engineer,"Our client an established international research and development company are seeking to recruit an experienced Data Engineer.
You will work on the collection, storing, processing, and analysis of huge sets of data from heterogeneous domains.
The primary focus will be on researching for optimal solutions to appropriate for the aforementioned purposes, then maintaining, implementing, and monitoring them. The successful candidate will also be responsible for integrating the said solutions with the architecture used across the company.
Job Description
Researching, designing and developing appropriate algorithms for Big Data collection, processing and analysis",,30d+,False,,Company - Public,,,,,,,,,,,,,,,
Viva Wallet,3.1,Athens,Junior Data Engineer / Reporting Specialist,"Viva Wallet is a leading European cloud-based neobank, delivering the future of payments, now. With presence in 24 markets, it is the payment institution with the largest footprint in Europe. Viva Wallet's mission is to change the way businesses pay and get paid, offering truly unifying, yet localized, end-to-end advanced digital payments solutions and embedded banking services tailored to their needs. Latest innovations include “tap-on-phone Viva Wallet POS app” turning any Android mobile to a card terminal, and “Smart Checkout” payment gateway that can increase conversion by 21%. An advocate of sustainable cashless economy, Viva Wallet harnesses the power of their disruptive in-house technologies to provide digital payments services in 19 languages and 9 currencies, featuring over 24 payment methods.
The Team
The Data Services team of the BI Team is in charge of designing, implementing and maintaining a set of tools (APIs and services) which collect data (from data sources or event brokers), aggregate & distribute it both internally (services & apps) & externally (data direct to the customer, corporate website/backoffice/mobile app, 3rd party apps, country authorities across Europe etc.)",,30d+,True,501 to 1000,Company - Private,Financial Services,2010,Banking & Lending,,0.55,,3.0,3.2,3.0,3.0,3.1,"['""salary is good"" (in 28 reviews)', '""Fast growing and evolving with ingenious management."" (in 26 reviews)', '""Amazing people\'s culture"" (in 24 reviews)', '""Good benefits"" (in 13 reviews)', '""Beautiful offices, all around Europe."" (in 23 reviews)']","['""Bad salary"" (in 28 reviews)', '""Bad management"" (in 26 reviews)', '""Could provide payment raises to committed people"" (in 24 reviews)', '""No trainings, no benefits, no career opportunities, no culture, no values, no care for the employees, lots of things not working all the time so bad customer experience"" (in 13 reviews)']",3.0,
TRG Research and Development,4.2,Greece,Senior Big Data Engineer,"At TRG we work in a global environment where every diverse personality and culture is included. We look for talented people worldwide who have passion for what they do and work together, shoulder to shoulder, to empower our customers in their fight against crime and terror.
Though technology is important, people always come first!
We believe that good talent is not tied to a specific location and can be found anywhere!
Our Core Values are our DNA, so if your DNA matches ours you are at the right place!
Whatever it takes! We follow a can-do approach, taking responsibility for milestones.
Passion is our fuel! We Learn. We Grow. We Innovate.",,30d+,False,501 to 1000,Company - Private,Media & Communication,1957,Advertising & Public Relations,$100 to $500 million,0.82,0.89,4.3,4.1,4.1,3.9,4.0,"['""great people at the agency"" (in 37 reviews)', '""Excellent pay and good people"" (in 20 reviews)', '""Benefits were good but it’s decent"" (in 15 reviews)', '""Steady hours for a decent pay."" (in 16 reviews)', '""Friendly, entrepreneurial culture, high creative standards, good profit sharing program."" (in 18 reviews)']","['""Pay is in the low range, cheap, hard to recommend to others due to low pay scales."" (in 20 reviews)', '""Low benefits"" (in 15 reviews)', '""Long hours And that u know"" (in 16 reviews)', '""The culture is a bit chaotic right now as the company is trying to navigate and find a new way of running things after Stan Richards left."" (in 18 reviews)']",3.6,"['Health Insurance (9 comments)\n""Better over time with telemedicine options ""', '401K Plan (8 comments)\n""Small match for 401k, but profit sharing is substantial""', 'Vacation & Paid Time Off (6 comments)\n""Low for new hires, but increases with tenure""']"
Satori Analytics,3.0,Greece,Senior Data Engineer,"Satori is an Analytics Agency made with one simple vision: to give clarity in decision making through data analytics.
Whether it’s a cloud-based big data ecosystem for a global fintech or a machine learning model predicting churn for a leading airline group, Satori develops cutting edge analytics solutions, providing real value to its clients. Services cover the whole data lifecycle from ingestion and warehousing to ML and AI applications.

Satori is a scale-up, well on track to become the leading data and analytics company in South-Eastern Europe and already a 65+ specialized tech team, consisting of Data Engineers, Data Scientists, Software Engineers, QAs, and CRM Specialists, delivering innovative data, tech, and customer experience solutions. The majority of our clients are household names and global brands in FMCG, retail, ecommerce, financial services, and travel, with a footprint in Greece but also across Europe and beyond.",,30d+,True,1 to 50,Company - Public,,,,,,,2.7,3.4,3.4,2.4,2.4,"['""Great environment Well educated people CxOs are very friendly with everyone Working hours are descent Payment on time"" (in 3 reviews)']","['""salary is not so good"" (in 1 reviews)']",,
Viva Wallet,3.1,Greece,Data Engineer,"Viva Wallet is a leading European cloud-based neobank, delivering the future of payments, now. With presence in 24 markets, it is the payment institution with the largest footprint in Europe. Viva Wallet's mission is to change the way businesses pay and get paid, offering truly unifying, yet localized, end-to-end advanced digital payments solutions and embedded banking services tailored to their needs. Latest innovations include “tap-on-phone Viva Wallet POS app” turning any Android mobile to a card terminal, and “Smart Checkout” payment gateway that can increase conversion by 21%. An advocate of sustainable cashless economy, Viva Wallet harnesses the power of their disruptive in-house technologies to provide digital payments services in 19 languages and 9 currencies, featuring over 24 payment methods.
The Team
The Business Intelligence and Analytics team's purpose is to improve business decisions by providing all necessary information to all sectors (Management, Finance, Sales, Risk etc) using data gathered both internally and externally.",,30d+,True,501 to 1000,Company - Private,Financial Services,2010,Banking & Lending,,0.55,,3.0,3.2,3.0,3.0,3.1,"['""salary is good"" (in 28 reviews)', '""Fast growing and evolving with ingenious management."" (in 26 reviews)', '""Amazing people\'s culture"" (in 24 reviews)', '""Good benefits"" (in 13 reviews)', '""Beautiful offices, all around Europe."" (in 23 reviews)']","['""Bad salary"" (in 28 reviews)', '""Bad management"" (in 26 reviews)', '""Could provide payment raises to committed people"" (in 24 reviews)', '""No trainings, no benefits, no career opportunities, no culture, no values, no care for the employees, lots of things not working all the time so bad customer experience"" (in 13 reviews)']",3.0,
